dataset,task_id,failure_type,strategy_dispatched,outcome
main_342,27_2,MISSING_STEP,reconstruct,resolved
main_342,27_2,MISSING_STEP,reconstruct,resolved
main_342,417_1,MISSING_STEP,reconstruct,resolved
main_342,417_1,MISSING_STEP,reconstruct,resolved
main_342,417_1,MISSING_STEP,reconstruct,resolved
main_342,850_1,MISSING_STEP,reconstruct,resolved
main_342,850_1,MISSING_STEP,reconstruct,resolved
main_342,954_2,MISSING_STEP,reconstruct,resolved
main_342,954_2,MISSING_STEP,reconstruct,resolved
main_342,954_2,MISSING_STEP,reconstruct,resolved
main_342,604_2,MISSING_STEP,insert_prep,resolved
main_342,627_1,AFFORDANCE_ERROR,local,gave_up
main_342,708_1,MISSING_STEP,insert_prep,resolved
main_342,708_1,MISSING_STEP,insert_prep,resolved
main_342,696_1,MISSING_STEP,insert_prep,resolved
main_342,824_1,AFFORDANCE_ERROR,already_satisfied,resolved
main_342,1004_2,WRONG_TEMPORAL_ORDER,insert_prep,resolved
main_342,152_2,WRONG_TEMPORAL_ORDER,insert_prep,resolved
main_342,298_2,WRONG_TEMPORAL_ORDER,insert_prep,resolved
main_342,703_2,WRONG_TEMPORAL_ORDER,insert_prep,resolved
main_342,837_2,WRONG_TEMPORAL_ORDER,insert_prep,resolved
main_342,323_2,AFFORDANCE_ERROR,local,gave_up
main_342,478_1,MISSING_STEP,wrong_action,resolved
main_342,478_1,AFFORDANCE_ERROR,local,resolved
main_342,478_1,AFFORDANCE_ERROR,local,gave_up
main_342,188_1,MISSING_STEP,insert_prep,resolved
main_342,803_2,MISSING_STEP,insert_prep,resolved
main_342,819_1,AFFORDANCE_ERROR,already_satisfied,resolved
main_342,190_1,WRONG_TEMPORAL_ORDER,insert_prep,resolved
main_342,223_2,MISSING_STEP,reconstruct,resolved
main_342,223_2,MISSING_STEP,reconstruct,resolved
main_342,223_2,MISSING_STEP,reconstruct,resolved
main_342,327_2,MISSING_STEP,reconstruct,resolved
main_342,487_1,WRONG_TEMPORAL_ORDER,insert_prep,resolved
main_342,650_2,MISSING_STEP,reconstruct,resolved
main_342,650_2,MISSING_STEP,reconstruct,resolved
main_342,650_2,MISSING_STEP,reconstruct,resolved
main_342,783_1,MISSING_STEP,reconstruct,resolved
main_342,783_1,MISSING_STEP,reconstruct,resolved
main_342,783_1,MISSING_STEP,reconstruct,resolved
main_342,815_2,WRONG_TEMPORAL_ORDER,insert_prep,resolved
main_342,181_1,AFFORDANCE_ERROR,local,gave_up
main_342,181_1,MISSING_STEP,reconstruct,resolved
main_342,181_1,MISSING_STEP,reconstruct,resolved
main_342,269_2,AFFORDANCE_ERROR,local,gave_up
main_342,269_2,AFFORDANCE_ERROR,local,gave_up
main_342,269_2,MISSING_STEP,reconstruct,resolved
main_342,509_2,AFFORDANCE_ERROR,local,gave_up
main_342,875_1,AFFORDANCE_ERROR,local,gave_up
main_342,875_1,MISSING_STEP,reconstruct,resolved
main_342,875_1,MISSING_STEP,reconstruct,resolved
main_342,176_1,MISSING_STEP,insert_prep,resolved
main_342,214_1,MISSING_STEP,insert_prep,resolved
main_342,549_2,MISSING_STEP,insert_prep,resolved
main_342,813_2,MISSING_STEP,insert_prep,resolved
main_342,928_2,MISSING_STEP,insert_prep,resolved
main_342,995_2,MISSING_STEP,insert_prep,resolved
main_342,71_2,AFFORDANCE_ERROR,already_satisfied,resolved
main_342,71_2,WRONG_TEMPORAL_ORDER,insert_prep,resolved
main_342,7_1,MISSING_STEP,insert_prep,resolved
main_342,113_1,MISSING_STEP,reconstruct,resolved
main_342,173_1,MISSING_STEP,reconstruct,resolved
main_342,385_2,MISSING_STEP,reconstruct,resolved
main_342,259_1,MISSING_STEP,insert_prep,resolved
main_342,181_2,MISSING_STEP,reconstruct,resolved
main_342,26_1,MISSING_STEP,insert_prep,resolved
main_342,510_1,MISSING_STEP,reconstruct,resolved
main_342,787_1,MISSING_STEP,reconstruct,resolved
main_342,1073_1,MISSING_STEP,insert_prep,resolved
main_342,241_2,MISSING_STEP,insert_prep,resolved
