file_id,task_name,a1_goal,a1_exec,a2_goal,a2_exec,a3_goal,a3_exec,first_success
9001_1,Hard busy hands,F,Y,F,Y,F,Y,
9002_1,Hard busy hands,F,Y,F,Y,F,Y,
9003_1,Hard busy hands,F,Y,F,Y,F,Y,
9004_1,Hard busy hands,F,Y,F,Y,F,Y,
9005_1,Hard busy hands,F,Y,F,Y,F,Y,
9006_1,Hard busy hands,F,Y,F,Y,F,Y,
9007_1,Hard busy hands,F,Y,F,Y,F,Y,
9008_1,Hard busy hands,F,Y,F,Y,F,Y,
9009_1,Hard busy hands,F,Y,F,Y,F,Y,
9010_1,Hard busy hands,F,Y,F,Y,F,Y,
9011_1,Hard appliance load,F,Y,F,Y,F,Y,
9012_1,Hard appliance load,F,Y,F,Y,F,Y,
9013_1,Hard appliance load,F,Y,F,Y,F,Y,
9014_1,Hard appliance load,F,Y,F,Y,F,Y,
9015_1,Hard appliance load,F,Y,F,Y,F,Y,
9016_1,Hard appliance load,F,Y,F,Y,F,Y,
9017_1,Hard appliance load,F,Y,F,Y,F,Y,
9018_1,Hard appliance load,F,Y,F,Y,F,Y,
9019_1,Hard appliance load,F,Y,F,Y,F,Y,
9020_1,Hard appliance load,F,Y,F,Y,F,Y,
9021_1,Hard scatter restore,F,Y,F,Y,F,Y,
9022_1,Hard scatter restore,F,Y,F,Y,F,Y,
9023_1,Hard scatter restore,F,Y,F,Y,F,Y,
9024_1,Hard scatter restore,F,Y,F,Y,F,Y,
9025_1,Hard scatter restore,F,Y,F,Y,F,Y,
9026_1,Hard scatter restore,S,Y,F,Y,F,Y,1
9027_1,Hard scatter restore,F,Y,F,Y,F,Y,
9028_1,Hard scatter restore,F,Y,S,Y,F,Y,2
9029_1,Hard scatter restore,F,Y,F,Y,F,Y,
9030_1,Hard scatter restore,F,Y,F,Y,F,Y,
9031_1,Hard precision toggles,S,Y,S,Y,F,N,1
9032_1,Hard precision toggles,F,N,F,N,F,N,
9033_1,Hard precision toggles,S,Y,S,Y,S,Y,1
9034_1,Hard precision toggles,F,N,F,N,F,N,
9037_1,Hard precision toggles,S,Y,S,Y,S,Y,1
9038_1,Hard precision toggles,F,N,F,N,F,N,
9039_1,Hard precision toggles,S,Y,F,N,F,N,1
9040_1,Hard precision toggles,S,Y,S,Y,S,Y,1
9041_1,Hard rough morning,F,Y,F,Y,F,Y,
9042_1,Hard rough morning,F,Y,F,Y,F,Y,
9043_1,Hard rough morning,F,Y,F,Y,F,Y,
9044_1,Hard rough morning,F,Y,F,Y,F,Y,
9045_1,Hard rough morning,F,Y,F,Y,F,Y,
9046_1,Hard rough morning,F,Y,F,Y,F,Y,
9047_1,Hard rough morning,F,Y,F,Y,F,Y,
9048_1,Hard rough morning,F,Y,F,Y,F,Y,
9049_1,Hard rough morning,F,Y,F,Y,F,Y,
9050_1,Hard rough morning,F,Y,F,Y,F,Y,
